gen	wbar	meanmatch	homfreq	hetfreq
0 0.783079	0.00215	0.76	0.24	
10 0.877107	0.02555	0.13	0.87	
20 0.967153	0.0445	0.04	0.96	
30 0.890904	0.06025	0.01	0.99	
40 0.866385	0.0661	0.03	0.97	
50 0.77023	0.07715	0.02	0.98	
60 0.754068	0.08545	0.02	0.98	
70 0.759668	0.08515	0	1	
80 0.710901	0.10495	0.01	0.99	
90 0.716099	0.1061	0.03	0.97	
100 0.701607	0.11755	0.04	0.96	
110 0.70205	0.12725	0.01	0.99	
120 0.7	0.1365	0.03	0.97	
130 0.7	0.14325	0.01	0.99	
140 0.7	0.16985	0	1	
150 0.7	0.1769	0.01	0.99	
160 0.7	0.1974	0.02	0.98	
170 0.7	0.21555	0.02	0.98	
180 0.7	0.22355	0.02	0.98	
190 0.7	0.23345	0.02	0.98	
200 0.7	0.24065	0	1	
210 0.7	0.2528	0.01	0.99	
220 0.7	0.26925	0.01	0.99	
230 0.7	0.278	0.01	0.99	
240 0.7	0.29345	0.03	0.97	
250 0.7	0.3035	0.03	0.97	
260 0.7	0.31095	0.03	0.97	
270 0.7	0.31515	0.04	0.96	
280 0.7	0.3086	0.01	0.99	
290 0.7	0.31485	0.03	0.97	
300 0.7	0.3232	0.04	0.96	
310 0.7	0.3396	0.01	0.99	
320 0.7	0.3381	0	1	
330 0.7	0.3382	0	1	
340 0.7	0.34975	0.02	0.98	
350 0.7	0.3621	0.13	0.87	
360 0.7	0.3622	0.15	0.85	
370 0.7	0.36235	0.28	0.72	
380 0.7	0.37025	0.32	0.68	
390 0.7	0.37955	0.58	0.42	
400 0.7	0.3916	0.4	0.6	
410 0.7	0.40155	0.69	0.31	
420 0.7	0.40695	0.8	0.2	
430 0.7	0.4116	0.97	0.03	
440 0.7	0.40935	1	0	
450 0.7	0.40635	1	0	
460 0.7	0.4219	1	0	
470 0.7	0.4268	1	0	
480 0.7	0.4128	1	0	
490 0.7	0.41255	1	0	
500 0.7	0.4264	1	0	
510 0.7	0.42835	1	0	
520 0.7	0.42845	1	0	
530 0.7	0.4222	1	0	
540 0.7	0.4335	1	0	
550 0.7	0.42665	1	0	
560 0.7	0.4328	1	0	
570 0.7	0.43885	1	0	
580 0.7	0.4502	1	0	
590 0.7	0.4565	1	0	
600 0.7	0.4556	1	0	
610 0.7	0.45715	1	0	
620 0.7	0.4704	1	0	
630 0.7	0.468	1	0	
640 0.7	0.4645	1	0	
650 0.7	0.46635	1	0	
660 0.7	0.47805	1	0	
670 0.7	0.4847	1	0	
680 0.7	0.4924	1	0	
690 0.7	0.48555	1	0	
700 0.7	0.4897	1	0	
710 0.7	0.46685	1	0	
720 0.7	0.4735	1	0	
730 0.7	0.48225	1	0	
740 0.7	0.4802	1	0	
750 0.7	0.4769	1	0	
760 0.7	0.4751	1	0	
770 0.7	0.47435	1	0	
780 0.7	0.47265	1	0	
790 0.7	0.4745	1	0	
800 0.7	0.47805	1	0	
810 0.7	0.4634	1	0	
820 0.7	0.4676	1	0	
830 0.7	0.4769	1	0	
840 0.7	0.4731	1	0	
850 0.7	0.4836	1	0	
860 0.7	0.47255	1	0	
870 0.7	0.4707	1	0	
880 0.7	0.46785	1	0	
890 0.7	0.47765	1	0	
900 0.7	0.47645	1	0	
910 0.7	0.47055	1	0	
920 0.7	0.4836	1	0	
930 0.7	0.48545	1	0	
940 0.7	0.50425	1	0	
950 0.7	0.5032	1	0	
960 0.7	0.50745	1	0	
970 0.7	0.5251	1	0	
980 0.7	0.51405	1	0	
990 0.7	0.5239	1	0	
1000 0.7	0.53725	1	0	
