gen	wbar	mismatch	homfreq	hetfreq
0 0.785028	114	0.79	0.21	
10 0.863893	772	0.14	0.86	
20 0.932321	1856	0.21	0.79	
30 0.918866	2326	0.1	0.9	
40 0.841595	2818	0.37	0.63	
50 0.853685	2708	0.69	0.31	
60 0.827303	3128	0.67	0.33	
70 0.812514	3326	0.85	0.15	
80 0.762028	3602	0.97	0.03	
90 0.783098	3622	0.96	0.04	
100 0.760631	3736	1	0	
110 0.707916	3942	1	0	
120 0.701749	4212	1	0	
130 0.700067	4486	1	0	
140 0.7	4976	1	0	
150 0.7	5620	1	0	
160 0.7	5948	1	0	
170 0.7	6330	1	0	
180 0.7	7046	1	0	
190 0.7	7828	1	0	
200 0.7	8358	1	0	
210 0.7	9080	1	0	
220 0.7	9990	1	0	
230 0.7	10622	1	0	
240 0.7	10952	1	0	
250 0.7	11336	1	0	
260 0.7	11434	1	0	
270 0.7	11888	1	0	
280 0.7	12000	1	0	
290 0.7	12332	1	0	
300 0.7	12872	1	0	
310 0.7	13082	1	0	
320 0.7	13264	1	0	
330 0.7	13400	1	0	
340 0.7	14224	1	0	
350 0.7	14548	1	0	
360 0.7	14392	1	0	
370 0.7	14388	1	0	
380 0.7	14548	1	0	
390 0.7	14906	1	0	
400 0.7	15568	1	0	
410 0.7	15902	1	0	
420 0.7	15828	1	0	
430 0.7	16224	1	0	
440 0.7	16244	1	0	
450 0.7	16384	1	0	
460 0.7	16554	1	0	
470 0.7	17178	1	0	
480 0.7	17334	1	0	
490 0.7	17104	1	0	
500 0.7	17086	1	0	
510 0.7	16954	1	0	
520 0.7	16970	1	0	
530 0.7	17242	1	0	
540 0.7	17586	1	0	
550 0.7	17140	1	0	
560 0.7	17474	1	0	
570 0.7	17768	1	0	
580 0.7	17550	1	0	
590 0.7	17640	1	0	
600 0.7	17756	1	0	
610 0.7	17980	1	0	
620 0.7	17556	1	0	
630 0.7	17810	1	0	
640 0.7	18012	1	0	
650 0.7	17606	1	0	
660 0.7	17370	1	0	
670 0.7	17564	1	0	
680 0.7	18222	1	0	
690 0.7	18334	1	0	
700 0.7	18732	1	0	
710 0.7	18818	1	0	
720 0.7	19286	1	0	
730 0.7	19092	1	0	
740 0.7	19296	1	0	
750 0.7	18960	1	0	
760 0.7	18534	1	0	
770 0.7	18656	1	0	
780 0.7	19068	1	0	
790 0.7	18722	1	0	
800 0.7	18718	1	0	
810 0.7	18854	1	0	
820 0.7	18866	1	0	
830 0.7	18508	1	0	
840 0.7	18500	1	0	
850 0.7	17766	1	0	
860 0.7	17878	1	0	
870 0.7	18682	1	0	
880 0.7	18230	1	0	
890 0.7	18010	1	0	
900 0.7	18112	1	0	
910 0.7	17622	1	0	
920 0.7	17370	1	0	
930 0.7	17706	1	0	
940 0.7	17696	1	0	
950 0.7	17692	1	0	
960 0.7	17700	1	0	
970 0.7	17926	1	0	
980 0.7	17742	1	0	
990 0.7	17618	1	0	
1000 0.7	17886	1	0	
