gen	wbar	mismatch	homfreq	hetfreq
0 0.782673	82	0.85	0.15	
10 0.883086	922	0.09	0.91	
20 0.950236	1754	0.03	0.97	
30 0.944323	1890	0.35	0.65	
40 0.908711	2470	0.36	0.64	
50 0.837247	3082	0.4	0.6	
60 0.836463	2962	0.57	0.43	
70 0.81463	2994	0.76	0.24	
80 0.768636	3302	0.96	0.04	
90 0.774029	3440	1	0	
100 0.797022	3400	1	0	
110 0.777999	3384	1	0	
120 0.750359	3546	1	0	
130 0.754335	3702	1	0	
140 0.74101	3928	1	0	
150 0.705054	4844	1	0	
160 0.700031	5472	1	0	
170 0.700883	5664	1	0	
180 0.7	6286	1	0	
190 0.7	6746	1	0	
200 0.7	7072	1	0	
210 0.7	7780	1	0	
220 0.7	8160	1	0	
230 0.7	8580	1	0	
240 0.7	8910	1	0	
250 0.7	9708	1	0	
260 0.7	10708	1	0	
270 0.7	10918	1	0	
280 0.7	11430	1	0	
290 0.7	11764	1	0	
300 0.7	11890	1	0	
310 0.7	11788	1	0	
320 0.7	11658	1	0	
330 0.7	11870	1	0	
340 0.7	12374	1	0	
350 0.7	12984	1	0	
360 0.7	13272	1	0	
370 0.7	13802	1	0	
380 0.7	13750	1	0	
390 0.7	13726	1	0	
400 0.7	14454	1	0	
410 0.7	14954	1	0	
420 0.7	15152	1	0	
430 0.7	15378	1	0	
440 0.7	15606	1	0	
450 0.7	15872	1	0	
460 0.7	16580	1	0	
470 0.7	16466	1	0	
480 0.7	16396	1	0	
490 0.7	16380	1	0	
500 0.7	16686	1	0	
510 0.7	16980	1	0	
520 0.7	16988	1	0	
530 0.7	17286	1	0	
540 0.7	17372	1	0	
550 0.7	17246	1	0	
560 0.7	17254	1	0	
570 0.7	17620	1	0	
580 0.7	17774	1	0	
590 0.7	17852	1	0	
600 0.7	18166	1	0	
610 0.7	17662	1	0	
620 0.7	18332	1	0	
630 0.7	18400	1	0	
640 0.7	18130	1	0	
650 0.7	18266	1	0	
660 0.7	18330	1	0	
670 0.7	18218	1	0	
680 0.7	18346	1	0	
690 0.7	18696	1	0	
700 0.7	18672	1	0	
710 0.7	18912	1	0	
720 0.7	18036	1	0	
730 0.7	18368	1	0	
740 0.7	18548	1	0	
750 0.7	18598	1	0	
760 0.7	18138	1	0	
770 0.7	18138	1	0	
780 0.7	17766	1	0	
790 0.7	18244	1	0	
800 0.7	17960	1	0	
810 0.7	18398	1	0	
820 0.7	18456	1	0	
830 0.7	18650	1	0	
840 0.7	19244	1	0	
850 0.7	19636	1	0	
860 0.7	19044	1	0	
870 0.7	19562	1	0	
880 0.7	19380	1	0	
890 0.7	19348	1	0	
900 0.7	19266	1	0	
910 0.7	19272	1	0	
920 0.7	19608	1	0	
930 0.7	19524	1	0	
940 0.7	19312	1	0	
950 0.7	19304	1	0	
960 0.7	19112	1	0	
970 0.7	18890	1	0	
980 0.7	18542	1	0	
990 0.7	19240	1	0	
1000 0.7	19136	1	0	
